Department=[Amazon.com],Search Term=[],Enter ASINs or Products=[],Reporting Range=[Weekly],Viewing=[11/8/20 - 11/14/20],,,,,,,,,,
Amazon.com,jewelry for women,"1,547",B07T4YL13F,"Personalized Initial Bracelet, 18K Gold Plated Stainless Steel Letter A Bracelet Dainty Coin Charm Bracelet Delicate Disc Name Bracelet for Women Girls",6.99%,9.21%,B07YYX1Y1H,36 Pairs Fashion Tassel Earrings Set for Women Girls Bohemian Acrylic Hoop Stud Drop Dangle Earring Leather Leaf Earrings for Birthday/Party/Christmas/Friendship Gifts,4.23%,3.73%,B07HH9VRQ8,"NINE WEST Women's Boxed Necklace/Pierced Earrings Set, Silver/Blue, One Size",3.47%,4.82%
Amazon.com,first aid kit,"1,548",B000069EYA,First Aid Only 299 Piece All-Purpose First Aid Kit (FAO-442),21.76%,19.84%,B01M09COIF,"Johnson & Johnson All-Purpose First Aid Kit, Portable Compact First Aid Set for Minor Cuts, Scrapes, Sprains & Burns, Ideal for Home, Car, Travel and Outdoor Emergencies, 140 pieces",16.63%,21.90%,B00CYBXH7G,"Be Smart Get Prepared 10HBC01082 100Piece First Aid Kit, Clean, Treat & Protect Most Injuries With The Kit that is great for Any Home, Office, Vehicle, Camping & Sports. 0.71 Lb",13.08%,18.77%
Amazon.com,camping gear,"1,549",B07X2X5YS4,AOKIWO 126Pcs Emergency Survival Kit Professional Survival Gear Tool First Aid Kit SOS Emergency Tactical Knife Pliers Pen Blanket Bracelets Compass with Molle Pouch for Camping Adventures (Black),7.22%,7.30%,B07WCT6HZ7,"4Monster Camping Towels Super Absorbent, Fast Drying Microfiber Travel Towel, Ultra Soft Compact Gym Towel for Beach Hiking Yoga Travel Sports Backpack",5.65%,4.59%,B0813JJMG7,"POWERLIX Sleeping Pad - Ultralight Inflatable Sleeping Mat, Ultimate for Camping, Backpacking, Hiking - Airpad, Inflating Bag, Carry Bag, Repair Kit - Compact & Lightweight Air Mattress (Blue)",5.17%,3.78%
Amazon.com,trail camera,"1,550",B07YTRR837,"GardePro A3 Trail Camera (2020), 20MP, 1080P H.264 HD Video, Clear 100ft No Glow Infrared Night Vision, 0.1s Trigger Speed, 82ft Motion Detection, Waterproof Cam for Wildlife Deer Game Trail",11.41%,13.11%,B07BHLVXF7,?2020 Upgrade?Campark Trail Camera-Waterproof 16MP 1080P Game Hunting Scouting Cam with 3 Infrared Sensors for Wildlife Monitoring with 120°Detecting Range Motion Activated Night Vision 2.4” LCD 42pcs,10.70%,12.07%,B07TXBRRGT,Campark Mini Trail Camera 16MP 1080P HD Game Camera Waterproof Wildlife Scouting Hunting Cam with 120° Wide Angle Lens and Night Vision 2.0” LCD IR LEDs,8.33%,10.16%
Amazon.com,computer speakers,"1,551",B07DDGBL5T,AmazonBasics USB-Powered PC Computer Speakers with Dynamic Sound | Silver,21.98%,29.23%,B0791H74NT,Creative Pebble 2.0 USB-Powered Desktop Speakers with Far-Field Drivers and Passive Radiators for Pcs and Laptops (Black),16.87%,19.71%,B00CD1PTF0,Bose Companion 2 Series III Multimedia Speakers - for PC (with 3.5mm AUX & PC Input),8.92%,5.87%
Amazon.com,wireless keyboard and mouse,"1,552",B079JLY5M5,"Logitech MK270 Wireless Keyboard and Mouse Combo - Keyboard and Mouse Included, 2.4GHz Dropout-Free Connection, Long Battery Life (Frustration-Free Packaging)",24.34%,32.48%,B00QXT5T3U,Logitech MK345 Wireless Combo Full-Sized Keyboard with Palm Rest and Comfortable Right-Handed Mouse - Black,11.00%,12.43%,B083TWG15D,"Wireless Keyboard and Mouse - Keyboard with Phone Holder, seenda 2.4GHz Silent USB Wireless Keyboard Mouse Combo, Full-Size Keyboard and Mouse for Computer, Desktop and Laptop (Black)",5.52%,5.87%
Amazon.com,baby swing,"1,553",B00PTL14S2,Graco Simple Sway Swing,21.17%,25.48%,B01MQM7W6M,Fisher-Price Sweet Snugapuppy Dreams Cradle 'n Swing,9.18%,8.83%,B00H8MSC0S,Graco DuetConnect LX Swing and Bouncer,5.13%,5.89%
Amazon.com,cake stand,"1,554",B01MT18S1K,HBlife Acrylic Cake Stand Multifunctional Serving Platter and Cake Plate With Dome (6 Uses),14.67%,19.68%,B08F98XYRM,"Godinger Cake Stand, Footed Cake Platter Server with Dome, Acaciawood and Shaterproof Acrylic Lid",8.58%,5.54%,B01N2YMMIG,"Kootek 11 Inch Rotating Cake Turntable with 2 Icing Spatula and Icing Smoother, Revolving Cake Stand White Baking Cake Decorating Supplies",6.77%,12.33%
Amazon.com,harry potter lego,"1,555",B0858VNX4N,"LEGO Harry Potter 4 Privet Drive 75968; Fun Children’s Building Toy for Kids Who Love Harry Potter Movies, Collectible Playsets, Role-Playing Games and Dollhouse Sets, New 2020 (797 Pieces)",13.23%,15.64%,B07BKPKT2X,"LEGO Harry Potter Hogwarts Great Hall 75954 Building Kit and Magic Castle Toy, Fantasy Creatures, Hermione Granger, Draco Malfoy and Hagrid (878 Pieces)",12.64%,12.93%,B07GH953JN,"LEGO Harry Potter Hogwarts Castle 71043 Castle Model Building Kit With Harry Potter Figures Gryffindor, Hufflepuff, and more (6,020 Pieces)",8.93%,2.74%
Amazon.com,iphone 8 plus cases,"1,556",B01KF3JF3Y,"JETech Case for iPhone 8 Plus and iPhone 7 Plus 5.5-Inch, Shock-Absorption Bumper Cover, Anti-Scratch Clear Back (HD Clear)",10.67%,15.93%,B08B7WFXDL,"Miracase iPhone 8 Plus Case, iPhone 7 Plus Case, Shockproof Silicone Case with Full Body Protection, Anti-Scratch Microfiber Lining, Drop-protect Rubber phone Case for iPhone 7 Plus/iPhone 8 Plus 5.5",8.67%,9.05%,B0897KBX5K,"TORRAS Shockproof Designed for iPhone 8 Plus Case/iPhone 7 Plus Case, [Military Grade Drop Protection] [Upgraded Materials] Ultimate Delicate Touch and Translucent Matte Protective Case, Black",5.51%,6.27%
Amazon.com,beats,"1,557",B07YVYPNRD,"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours Of Listening Time - Rose Gold (Latest Model)",16.89%,27.19%,B07YVYN8SY,"Beats Solo Pro Wireless Noise Cancelling On-Ear Headphones - Apple H1 Headphone Chip, Class 1 Bluetooth, Active Noise Cancelling, Transparency, 22 Hours Of Listening Time - Light Blue",11.83%,8.09%,B07R5QD598,"Powerbeats Pro Wireless Earphones - Apple H1 Headphone Chip, Class 1 Bluetooth, 9 Hours Of Listening Time, Sweat Resistant Earbuds - Black",8.70%,6.04%
Amazon.com,nerf guns for boys,"1,558",B07VVXHH4J,"Kids Tactical Vest Kit for Nerf Guns Series with Refill Darts,Dart Pouch, Reload Clips, Tactical Mask, Wrist Band and Protective Glasses,Nerf Vest Toys for 4 5 6 7 8 9 10 11 12 Year Boys",11.03%,10.61%,B07HYLCXNN,"Strongarm Nerf N-Strike Elite Toy Blaster with Rotating Barrel, Slam Fire, and 6 Official Nerf Elite Darts for Kids, Teens, and Adults (Amazon Exclusive)",5.26%,7.41%,B07BC4W9ZR,NERF Elite Digital Target,4.43%,5.21%
Amazon.com,jeans for men,"1,559",B08M7CGGZB,Wrangler Men's Classic 5-Pocket Regular Fit Flex Jean,13.57%,16.46%,B085SN376Q,Levi's Men's 505 Regular Fit Jeans,9.17%,13.72%,B08KHZ5CRC,Levi's Men's 511 Slim Fit Jeans,5.19%,4.36%
Amazon.com,puma shoes for men,"1,560",B08KHGHJ8P,PUMA Men's Smash 2 Sneaker,8.75%,9.51%,B00605L6Z2,PUMA Men's Roma Basic Sneaker,8.55%,9.30%,B083TRZ85D,"PUMA Men's Enzo 2 Sneaker, 0",6.19%,5.71%
Amazon.com,heat press,"1,561",B0043H9FMU,Fancierstudio Power Heat press Digital Heat Press 15 x 15 Sublimation Heat Press Rhinestone Heat Press T-Shirt Heat Press 15x15 B/BLK,11.22%,11.78%,B089Q6T4TK,Slendor Heat Press 5 in 1 Heat Press 12x15 inch Machine 360-Degree Swing Away Digital Multifunction Sublimation Combo for T Shirts Mugs Hat Plate Cap,8.66%,7.95%,B085NS2241,Smartxchoices Pro 5 in 1 Heat Press Machine Combo 360-degree Rotation 12 x 15 Swing Away Digital Sublimation Heat Transfer Machine for T-Shirts Hat Mug Plate Cap Sports Bottle,6.56%,6.71%
Amazon.com,battery operated christmas lights,"1,562",B015Q7VOOM,"Koopower 36ft 100 LED Battery Operated String Lights with Timer on 11M Outdoor Clear String Lights(8 Modes, IP65 Waterproof, Warm White)",16.71%,16.71%,B074NWSTHC,"Christmas Lights Outdoor String Lights - 50 LED Battery Operated String Lights LED String Lights for Christmas Tree Wedding Wreath Party Home Garden Indoor Outdoor, 100% Waterproof, 2-year Warranty",7.84%,8.90%,B072NH2FQ1,"Sanniu Led String Lights, Mini Battery Powered Copper Wire Starry Fairy Lights, Battery Operated Lights for Bedroom, Christmas, Parties, Wedding, Centerpiece, Decoration (5m/16ft Warm White)",6.99%,7.25%
Amazon.com,christmas masks for women,"1,563",B08KFCN2FG,"Christmas Face_Masks, Santa Claus Snowman Mouth Cover, Reusable Washable Anti-Dust Balaclava Outdoor Protect",11.96%,14.68%,B08JCQCQJG,Christmas Disposable Mask for Women Man white Cane Christmas Masks Disposable for Adult Christmas Masks Holiday Design Mask 50pcs 3Layer Masks adult white,6.31%,5.95%,B08BR8DRGJ,"ATRISE Christmas Face Masks for Women,Unisex Adult Cloth+Face+Mask+Washable Santa Claus,Snow Print Mouth Mask Cloth",5.58%,4.81%
Amazon.com,weights dumbbells set,"1,564",B088BJMR73,"Sporzon! Rubber Encased Hex Dumbbell, Pair, Black",10.29%,12.30%,B07Y52WTYP,Balance From 50-Pound All-Purpose Dumbbell Set with Weight Rack,7.64%,8.64%,B01MYYVGU7,"Balance From BF-D358 Dumbbell Set with Stand, 32 lb",6.71%,10.40%
Amazon.com,xbox series x controller,"1,565",B08DF248LD,Xbox Core Controller - Carbon Black,33.58%,36.28%,B08DFB488B,Xbox Wireless Controller - Shock Blue,31.01%,32.74%,B08DF26MXW,Xbox Core Controller - Robot White,8.87%,14.60%
Amazon.com,tv mount,"1,566",B07SHFPD8S,"Full Motion TV Monitor Wall Mount Bracket Articulating Arms Swivels Tilts Extension Rotation for Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs by Pipishell",21.40%,17.54%,B00NKYYMAW,"Mounting Dream UL Listed TV Mount for Most 37-70 Inches TVs, Universal Tilt TV Wall Mount Fits 16, 18, 24 Studs with Loading 132 lbs & Max VESA 600x400mm,Low Profile Wall Mount Bracket MD2268-LK",19.45%,20.57%,B00SFSU53G,"Mounting Dream UL Listed TV Mount TV Wall Mount with Swivel and Tilt for Most 32-55 Inch TV, Full Motion TV Mount with Articulating Dual Arms, Max VESA 400x400mm, 99 lbs. Loading, 16 inch Studs MD2380",9.14%,8.66%
Amazon.com,puzzles for adults,"1,567",B07N4PXC64,Buffalo Games - Dog Gone Funny - 750 Piece Jigsaw Puzzle,6.88%,9.10%,B07MWRK6MX,"Ravensburger Cozy Retreat 500 Piece Large Format Jigsaw Puzzle for Adults - Every Piece is Unique, Softclick Technology Means Pieces Fit Together Perfectly",6.33%,6.35%,B07DHZ2HY5,1000 Piece Puzzle for Adults - Difficult Donuts Jigsaw Puzzle,3.82%,3.60%
Amazon.com,butter dish,"1,568",B00L9X6M6I,"OXO Good Grips Butter Dish,White/Clear,OXO Butter Dish",16.26%,21.50%,B01HST436W,Glass Butter Dish with Cover,6.64%,10.61%,B07S5CVXBP,Butterie Flip-Top Butter Dish with Matching Spreader (Grey),5.95%,4.68%
Amazon.com,cream cheese,"1,569",B074H5SRLT,"365 Everyday Value, Whipped Cream Cheese, 8 oz",14.23%,15.22%,B074VGH1KZ,"365 by Whole Foods Market, Cream Cheese, 8 Ounce",13.80%,13.41%,B000PXYFTY,Philadelphia Original Cream Cheese Brick (8 oz Box),12.13%,11.64%
Amazon.com,xiaomi,"1,570",B0881TZRTZ,"Xiaomi Redmi Note 9 Pro 128GB + 6GB RAM, 6.67 FHD+ DotDisplay, 64MP AI Quad Camera, Qualcomm Snapdragon 720G LTE Factory Unlocked Smartphone - International Version (Interstellar Grey)",16.47%,13.51%,B07ZGJHS3N,Xiaomi Mi Note 10 128GB 108MP Penta Camera 6.47? LTE Factory Unlocked Smartphone (International Version) (Midnight Black),5.88%,3.38%,B088HJC42B,"Xiaomi Redmi Note 9 4GB RAM + 128GB, 48MP Quad Camera Hotshot, 5020mah Battery, 6.53 ”FHD +, LTE Factory Unlocked Smartphone - International Version (Forest Green)",5.30%,5.41%
Amazon.com,gel pens,"1,571",B088D5K76L,"Gel Pens for Adult Coloring Books, 122 Pack Artist Colored Gel Marker Pens Set with 40% More Ink for Kids Drawing Note Taking Crafts Scrapbooks Bullet Journaling Doodling",11.03%,8.10%,B07R1WKMB3,"Gel Pens for Adult Coloring Books, 30 Colors Gel Marker Colored Pen with 40% More Ink for Drawing, Doodling Crafts Scrapbooks Bullet Journaling",9.65%,12.49%,B079G2XQT3,Tanmit Gel Pens Set Colored Pen Fine Point Art Marker Pen 36 Unique Colors for Adult Coloring Books Kid Doodling Scrapbooking Drawing Writing Sketching Highlighter Pens,8.95%,10.54%
Amazon.com,onesies women,"1,572",B088D1MDF8,air-SMART Women Sexy Short Rompers Bodysuit Long Sleeve Printed V Neck Bodycon Stretch Button Pajama Jumpsuit,10.86%,11.03%,B08DKRXST4,Multitrust Wome Deep V Neck Funny Print Jumpsuit Rompers Button Down Pajamas Stretch Short Bodysuits Shorts,8.17%,8.22%,B076CJ4J2V,Adult Onesie Animal Pajamas Halloween Cosplay Costumes Party Wear Blue,7.89%,5.16%
Amazon.com,pressure cooker,"1,573",B07RCNHTLS,"Instant Pot Duo Nova Pressure Cooker 7 in 1, 6 Qt, Best for Beginners",16.37%,15.51%,B07R92QXNB,"Instant Pot Duo Nova Pressure Cooker 7 in 1,  8 Qt, Best for Beginners",12.28%,16.26%,B00164U4EQ,"IMUSA USA A417-80801W Stovetop Aluminum Pressure Cooker 7.0-Quart,Silver",11.22%,15.98%
Amazon.com,felt christmas tree for toddlers,"1,574",B07K81R16X,jollylife 3ft DIY Felt Christmas Tree Set + Snowman Advent Calendar - Xmas Decorations Wall Hanging 33 Ornaments Kids Gifts Party Supplies,30.03%,29.13%,B08FMVJC8N,"Felt Christmas Tree for Kids with 26pcs Detachable Ornaments,Wall Hanging Xmas Gifts Christmas Decorations",10.92%,9.90%,B07XXZ1CNL,Kids DIY Felt Christmas Tree with 30pcs Set Wall Hanging Detachable Ornaments Xmas Gifts Children Friendly Christmas Home Decorations,7.04%,8.95%
Amazon.com,mousepad,"1,575",B075WW7V6W,"VicTsing Mouse Pad with Stitched Edge, Premium-Textured Mouse Mat, Non-Slip Rubber Base Mousepad for Laptop, Computer & PC, 10.2×8.3×0.08 inches, Black",18.40%,21.01%,B07PQDLF51,"RGB Gaming Mouse Pad, UtechSmart Large Extended Soft Led Mouse Pad with 14 Lighting Modes 2 Brightness Levels, Computer Keyboard Mousepads Mat 800 x 300mm / 31.5×11.8 inches",6.37%,1.99%,B0794WBPHK,"VicTsing [30% Larger] Extended Gaming Mouse Pad with Stitched Edges, Long XXL Mousepad (31.5x15.7In), Desk Pad Keyboard Mat, Non-Slip Base, Water-Resistant, for Work & Gaming, Office & Home, Black",5.04%,2.64%
Amazon.com,little tikes,"1,576",B00C2P6VWW,Little Tikes Activity Garden Baby Playset,7.01%,6.32%,B0851KYQVX,"Little Tikes First Washer-Dryer Realistic Pretend Play Appliance for Kids, Multicolor",6.41%,4.79%,B085JJ9QV3,Little Tikes Go Green! Cozy Truck w/ Trailer & Garden Tools for Kids | Recycled Plastic,4.94%,4.02%
Amazon.com,yoga pants,"1,577",B07MQ2LMLY,Spalding Women's Bootleg Yoga Pant,7.64%,7.69%,B07JW1NMXS,"HISKYWIN Inner Pocket Yoga Pants 4 Way Stretch Tummy Control Workout Running Pants, Long Bootleg Flare Pants",7.27%,7.12%,B08CMNZ47M,Heathyoga Bootcut Yoga Pants for Women with Pockets High Waisted Workout Pants for Women Bootleg Work Pants Dress Pants,5.73%,3.65%
Amazon.com,little people fisher price,"1,578",B084YNM9VF,Fisher-Price Little People Caring for Animals Farm,10.98%,11.02%,B000067R86,Fisher-Price Little People Christmas Story,7.68%,10.10%,B07CT7WP7F,Fisher-Price Little People Big Helpers Home,4.71%,3.93%
Amazon.com,gloves disposable latex free,"1,579",B07KYVGGTK,"Medpride Medical Vinyl Examination Gloves | Latex and Powder Free | Disposable, Ultra-Strong, Clear | Food Handling Use",19.88%,22.00%,B07NVXPSWP,"Medpride Vinyl Gloves| 4.3 mil Thick, Powder-Free, Non-Sterile, Heavy Duty Disposable Gloves| Medical, Food Handling",9.43%,9.60%,B08697P5CS,"Wostar Nitrile Disposable Gloves 2.5 Mil Pack of 100, Latex Free Safety Working Gloves for Food Handle or Industrial Use",7.94%,9.17%
Amazon.com,lol surprise,"1,580",B085B24ZGT,"L.O.L. Surprise Deluxe Present Surprise with Limited Edition Sprinkles Doll and Pet, Teal",13.98%,15.00%,B085B24NK4,"L.O.L. Surprise! All-Star BBS Sports Series 2 Cheer Team Sparkly Dolls with 8 Surprises Including Doll, Trading Card, Bottle, Pompom, Shoes, Cheer Uniform, Secret Message, Accessories | Ages 4-15",8.90%,14.78%,B085JPLDDN,"L.O.L. Surprise! Confetti Under Wraps Doll with 15 Surprises & Exclusive Doll Collectible and Accessories, for Ages 6 and Up | Surprise Pop of Confetti in Every Capsule Surprise Toys for Girls",5.54%,10.86%
Amazon.com,s,"1,581",B000HX6HKC,Help Wanted/Reef Blower/Tea at the Treedome,28.47%,1.84%,B001JJJHH8,The Algae's Always Greener/Sponge Guard on Duty,9.72%,0.46%,B087LW248V,SCOOB!,9.45%,6.45%
Amazon.com,dewalt 20v tools,"1,582",B00IJ0ALYS,"DEWALT 20V MAX Cordless Drill Combo Kit, 2-Tool (DCK240C2)",10.41%,15.34%,B00ET5VMTU,"DEWALT 20V MAX Cordless Drill / Driver Kit, Compact, 1/2-Inch (DCD771C2)",6.79%,15.34%,B01N6JEDYQ,"DEWALT 20V MAX Combo Kit, Compact 4-Tool (DCK423D2)",5.56%,4.85%
Amazon.com,biotin,"1,583",B009SZXM4E,"Biotin by Nature's Bounty, Vitamin Supplement, Supports Metabolism for Energy and Healthy Hair, Skin, and Nails, 10000 mcg, 120 Rapid Release Softgels",30.81%,33.46%,B00IOZWC2M,"Biotin (5,000mcg) with Coconut Oil | Supports Healthy Hair, Skin & Nails in Biotin deficient Individuals | Non-GMO Verified & Vegan Certified (120 Veggie-Softgels)",13.77%,12.88%,B0719HYML3,"Amazon Elements Vegan Biotin 5000 mcg - Hair, Skin, Nails - 130 Capsules (4 month supply) (Packaging may vary)",11.91%,12.44%
Amazon.com,louis vuitton,"1,584",B07559LHYB,Louis Vuitton Neverfull MM Damier Ebene Bags Handbags Purse N41358,13.39%,11.76%,B07WRDQ3F5,Louis Vuitton Neverfull MM Monogram Bags Handbags Purse (Cherry),7.11%,0.00%,B07YJTGLRY,Louis Vuitton Multi Pochette Accessoires Crossbody Bags Handbags Purse Kaki M44813,4.26%,0.00%
Amazon.com,rtx 2060,"1,585",B07Q1ZJ3ZB,"EVGA 06G-P4-2067-KR GeForce RTX 2060 SC Ultra Gaming, 6GB GDDR6, Dual HDB Fans",14.45%,15.91%,B07PBLD2MX,MSI Gaming GeForce RTX 2060 6GB GDRR6 192-bit HDMI/DP Ray Tracing Turing Architecture VR Ready Graphics Card (RTX 2060 VENTUS XS 6G OC),13.19%,14.77%,B08C4YJ2K3,"ASUS Dual NVIDIA GeForce RTX 2060 Mini Gaming Graphics Card (PCIe 3.0, 6GB GDDR6 Memory, HDMI, DisplayPort, DVI-D, for Intel NUC 9 Extreme Kit, Intel NUC 9 Pro Kit, and Small Chassis)",9.27%,7.95%
Amazon.com,scale,"1,586",B00F3J9G1W,"Etekcity Digital Body Weight Bathroom Scale with Step-On Technology, 400 Lb, Body Tape Measure Included",17.28%,17.26%,B078HW8BPY,"FITINDEX Bluetooth Body Fat Scale, Smart Wireless BMI Bathroom Weight Scale Body Composition Monitor Health Analyzer with Smartphone App for Body Weight, Fat, Water, BMI, BMR, Muscle Mass - White",12.78%,14.78%,B01N1UX8RW,"RENPHO Body Fat Scale Smart BMI Scale Digital Bathroom Wireless Weight Scale, Body Composition Analyzer with Smartphone App sync with Bluetooth, 396 lbs - Black",12.24%,12.54%
Amazon.com,xbox series x console preorder,"1,587",B08H75RTZ8,Xbox Series X,26.02%,26.32%,B074WPGYRF,"Microsoft Xbox One X 1Tb Console With Wireless Controller: Xbox One X Enhanced, Hdr, Native 4K, Ultra Hd (Discontinued)",14.80%,15.79%,B01GW8VG7O,Xbox One X 1TB Limited Edition Console - Project Scorpio Edition [Discontinued],13.65%,0.00%
Amazon.com,dvd player,"1,588",B07YBFQHB5,"Majority Scholars Compact DVD Player, Multi-Region Region Free, USB Port, DivX, RCA & HDMI Port, Built-in PAL/NTSC System, HDMI Cable Included",22.58%,27.15%,B007F9XHAY,"Sony DVPSR510H DVD Player, with HDMI port (Upscaling)",19.16%,19.90%,B007F9XHBI,Sony DVPSR210P DVD Player,18.79%,19.96%
Amazon.com,adult sex toys & games,"1,589",B07QKZFNJW,"Rechargeable Clitoral and G-Spot Vibrator, Waterproof Couples Vibrator with 9 Powerful Vibrations, Wireless Remote Control Clitoris G Spot Stimulator, Adult Sex Toy for Women Solo Play or Couples Fun",13.17%,16.02%,B07QGBSV9H,"Clitoral Sucking Vibrator with 7 Intense Suction, Adorime Rechargeable Waterproof Clit Sucker Nipple Stimulator Sex Toys for Women for Solo Oral Sex Rose Vibrator",7.56%,7.24%,B07H93B5T4,Wearable Panty Vibrator with Wireless Remote Control Panties Vibrating Eggs-Pelepas 12 Vibration Patterns Medical Silicone Waterproof Invisible Clitoral Stimulator Sex Toys for Women Couples (Pink),4.83%,4.89%
Amazon.com,tower computers,"1,590",B088X2YR3X,"Acer Aspire TC-895-UA92 Desktop, 10th Gen Intel Core i5-10400 6-Core Processor, 12GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 Type C, Windows 10 Home",9.42%,12.50%,B07TB9G2R6,"Dell OptiPlex 9020-SFF, Intel Core i5-4570 3.2GHZ, 16GB RAM, 512GB SSD Solid State, DVDRW, Windows 10 Pro 64bit (Renewed)",8.25%,15.63%,B074T2L4CC,"HP Elite 8300 Ultra Small Slim High Performance Business Computer PC (Intel 3470s 2.9Ghz), 8GB RAM, 120GB Brand New SSD, Wireless WIFI, USB 3.0) Windows 10 Professional (Renewed)",6.67%,12.50%
Amazon.com,tank tops for women,"1,591",B07Y1PTBVP,4 Pieces Basic Crop Tank Tops Sleeveless Racerback Crop Sport Cotton Top for Women,10.00%,4.54%,B079K6YZJZ,Vislivin Women's Basic Solid Camisole Adjustable Spaghetti Strap Tank Top,5.88%,8.97%,B087JFFMNY,Vislivin Womens Supersoft Camisole Stretch Casual Tank Tops Black/White/Wine Red XL,5.28%,7.68%
Amazon.com,queen comforter set,"1,592",B0834QPL54,"Bedsure Queen Comforter Set, Bed Comforter Queen Set, Grey Comforter Queen Set, Cationic Dyeing Queen Comforter with Pillow Shams(Queen/Full, 88x88 inches, 3 Pieces)",17.53%,19.15%,B07NYR18X4,"Bedsure Comforter Set Queen/Full Bed in A Bag Grey 8 Pieces - 1 Pinch Pleat Comforter(88X88 inches), 2 Pillow Shams, 1 Flat Sheet, 1 Fitted Sheet, 1 Bed Skirt, 2 Pillowcases",7.01%,10.28%,B07D2WF3YD,"AmazonBasics Ultra-Soft Micromink Sherpa Comforter Bed Set, Full or Queen, Charcoal - 3-Piece",3.77%,4.91%
Amazon.com,hoodies for teen girls,"1,593",B08DHZYNJN,"Eduavar Womens Hoodies, Women Girls Cute Graphic Printed Long Sleeve Hoodie and Sweatshirts Casual Loose Pullover Tops",6.58%,4.40%,B089B5CQQF,Champion Kids Clothes Sweatshirts Youth Heritage Fleece Pull On Hoody Sweatshirt with Hood,6.23%,4.66%,B07G9JK41L,LUCAMORE Womens Girls Solid Long Sleeve Hoodie Yellow Hooded Sweatshirt Pullover Tops Blouse with Pocket,6.10%,2.59%
Amazon.com,christmas bathroom sets,"1,594",B08KT47FB6,"yadamse WAQIA 4Pcs Merry Christmas Shower Curtain Sets,Christmas Bathroom Decoration Waterproof Bath Curtain with 12 Hooks,Base Mat,Toilet Mat,Floor Mat, Holiday Bathroom Decoration Set (Style 5)",19.32%,11.13%,B07KCNYMC7,"JOYIN 5 Pieces Christmas Santa Theme Bathroom Decoration Set Includes Toilet Seat Cover, Rugs, Tank Cover, Toilet Paper Box Cover and Santa Towel for Xmas Indoor Décor, Party Favors",8.18%,10.87%,B08JPDHF13,"Lucoss 4 Pcs Christmas Shower Bathroom Accessory Set,- Shower Curtain with Hooks, Non-Slip Bath Rug, Toilet Lid Cover, Toilet Rug, Christmas Decorations Set for Bathroom (Red-Santa Claus)",2.84%,3.32%
Amazon.com,ryzen 5 3600,"1,595",B089WC4VWF,"AMD Ryzen 5 3600XT 6-core, 12-threads unlocked desktop processor with Wraith Spire cooler",43.18%,60.46%,B07STGGQ18,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",15.37%,11.71%,B07SQBFN2D,"AMD Ryzen 5 3600X 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Spire Cooler",13.63%,11.90%
Amazon.com,fishing,"1,596",B07VJMHL57,"TOPFORT 187pcs Fishing Accessories Kit, Including Jig Hooks, Bullet Bass Casting Sinker Weights, Different Fishing Swivels Snaps, Sinker Slides, Fishing Line Beads, Fishing Set with Tackle Box…",11.18%,15.14%,B06XF17CWV,LUCKY Handheld Fish Finder Portable Fishing Kayak Fishfinder Fish Depth Finder Fishing Gear with Sonar Transducer and LCD Display,5.36%,4.96%,B07MXBLD23,"ZACX Fishing Pliers, Fish Lip Gripper Upgraded Muti-Function Fishing Pliers Hook Remover Split Ring,Fly Fishing Tools Set,Ice Fishing,Fishing Gear,Fishing Gifts for Men (Package B)",5.36%,10.71%
Amazon.com,pregnancy test,"1,597",B0000B11WE,"Clearblue Digital Pregnancy Test with Smart Countdown, 3 count",15.36%,18.49%,B001GXEHL8,"Clearblue Rapid Detection Pregnancy Test, 2 Count",14.12%,16.24%,B071YNWRPP,"AccuMed Pregnancy Test Strips, 25-Count Individually Wrapped Pregnancy Strips, Early Home Detection Pregnancy Test Kit, Clear HCG Test Results, Over 99% Accurate",11.64%,10.27%
Amazon.com,fish tank,"1,598",B00591C0F8,"Tetra ColorFusion Starter aquarium Kit 3 Gallons, Half-Moon Shape, With Bubbler And Color-Changing Light Disc",11.90%,20.33%,B07R7BD9GW,"Hygger Horizon 8 Gallon LED Glass Aquarium Kit for Starters with 7W Power Filter Pump, 18W Colored led Light, Wide View Curved Shape Fish Tank with Undetachable 3D Rockery Background Decor",7.83%,1.89%,B013BXDZ90,"Tetra Aquarium 20 Gallon Fish Tank Kit, Includes LED Lighting and Decor",7.67%,2.84%
Amazon.com,phone case,"1,599",B07ZH8PS4F,"OUXUL Case for iPhone X/iPhone Xs case Liquid Silicone Gel Rubber Phone Case,iPhone X/iPhone Xs 5.8 Inch Full Body Slim Soft Microfiber Lining Protective Case (Forest Green)",16.58%,22.52%,B07T2MQZCH,Spigen Liquid Crystal Glitter Designed for iPhone 11 Case (2019) - Crystal Quartz,16.04%,13.51%,B074T8NYKW,"iPhone SE Case(2020),iPhone 8 case,iPhone 7 Silicone Case Miracase Gel Rubber Full Body Protection Shockproof Cover Case Drop Protection for Apple iPhone 9/ iPhone 8/ iPhone 7(4.7) (Clove Purple)",7.77%,6.31%
